Restaurant_Name,City,District,Address,Phones
10 Degree Restaurant,El Gharbeya.,Tanta,", Extension Of El Bahr St., Stadium Zone, El Hana Tower",
2 Chefs,Cairo.,Ain Shams,36 Hassan Sorour St.,
2edra W Tasa Restaurant,Cairo.,Maadi,"1 El Shorta Bldgs., Rd. 233, Degla",
3 Grill,Giza.,6th Of October,"2nd Neighbourhood, District 12, El Sheikh Zayed",
3a Tasa,"Giza.
See All Branches
❯",El Haram,"196 B Gardenia St., Hadayek El Ahram",
3al Kanoon Restaurant & Cafe,Cairo.,Madinty,South Park,
3ala Nasya,Giza.,El Haram,"26 Mobarak St., Off Ezz El Din Omar St., Spates",
3alrakia Cafe & Lounge,Alexandria.,Sidi Gaber,El Guish Rd.,
3amo Hesham Restaurant,Cairo.,Heliopolis,"Demascus St., El Gamea Square",
3ezo Restaurant,Cairo.,Heliopolis,"88 Saqr Qoraish Bldgs., El Shaheed Sayed Zakareya St., Sheraton Bldgs.",
3lmashy,Cairo.,Maadi,", .",
3m Saeed,Cairo.,El Manyal,41 Manial St.,
3nb B.B.Q,El Gharbeya.,El Mahalla El Kobra,El Bahr St.,
3nb B.B.Q,"El Gharbeya.
See All Branches
❯",El Mahalla El Kobra,"Saad Zaghloul St., Besisa Sq.",
4 Pieces Restaurant,Cairo.,Shoubra,"3 Zakareya El Hariry St., Off Kholousy St.",
41 Rooftop Restaurant,Cairo.,Maadi,"8 Rd. 213, Degla",
7awawshi Street,Cairo.,Nasr City,Omar Ibn El Khattab St.,
Aal Keef,Cairo.,Al Rehab City,Commercial Market,
Abd El Aziz Village For Bedouin Food,Alexandria.,Amreya,Mostashfa El Sheikha Badawy St.,
Abdel Aal Abdel Ghany,Alexandria.,Karmouz,115 El Nil St.,
Abdel Salam Sons Restaurant,Cairo.,El Salam City,El Sadat St.,
Abdou El Sharqawy Restaurant,"Cairo.
See All Branches
❯",Nasr City,2 E 1St Of May Bldgs. El Nasr Rd.,
Abdou El Sharqawy Restaurant,Giza.,Dokki,100 El Tahrir St.,
Abdou Homous,Giza.,Imbaba,2 Mohamed Asran St. Off El Qawmeya El Arabeya St.,
Abdou Kofta,"Cairo.
See All Branches
❯",Nasr City,"85 Hafez Ramadan St. Off Ahmed Fakhry St., 6th District",
Abdou Pasha Restaurant,Cairo.,El Bassateen,52 Aly Abdel Aziz St.,
Abdou Restaurant,Giza.,El Haram,"10 Aly Gamal St., El Omraneya El Gharbeya",
Abdullah Bashandi Restaurant,Cairo.,Kasr El Ainy,31 El Sheikh Aly Youssef St.,
Abo Ali Restaurant,"El Sharkeya.
See All Branches
❯",10th Of Ramadan,"8 E, El Ordoneya, Abdel Maqsoud Complex",
Abo Amr Take Away,"Cairo.
See All Branches
❯",El Khalifa,20 El Khalifa St.,
Abo Omar Restaurant,"Hurghada.
See All Branches
❯",Sekala,Sherry St.,
Abo Skandr Restaurant,Hurghada.,El Hadaba,El Madares St.,
Abou Abdullah Restaurant,Giza.,Ard El Lewaa,20 Mostafa El Assal St.,
Abou Ahmed Restaurant,Giza.,El Haram,23 Ramzy Farag St.,
Abou Aly,Cairo.,Nasr City,"93 El Swesry Bldgs., 10th District",
Abou Aly Restaurant,Cairo.,Heliopolis,"13, Koleyet El Banat Project, Koleyet El Banat",
Abou Aly Restaurant,Kafr El Sheikh.,Fuwah,El Fath St.,
Abou Aly Restaurant,Kaliobeya.,El Kalag,2 El Teraa El Mardouma St.,
Abou Aly Restaurant,North Coast.,Alex. Matrouh Desert Rd.,"Km 79, ",
Abou Aly Sandwiches,Cairo.,El Herafeyeen,20 El Rihany St.,
Abou Ammar El Haty,Cairo.,El Zaytoun,59 Selim El Awal St.,
Abou Ammar Restaurant,Giza.,Kerdasa,2 Saad Zaghloul St.,
Abou Aouf Restaurant,"Cairo.
See All Branches
❯",Heliopolis,65 Abdel Hamid Badawy St.,
Abou Awad Restaurants,Alexandria.,San Stefano,"2 El Casino St., El Awqaf Bldg.",
Abou Diab Restaurant,Giza.,Abou El Nomrous,139 Ahmed Badawy St.,
Abou Donia Liver,Cairo.,El Marg,"19 El Madina El Monawara St., Kafr El Shorafa",
Abou El Fetouh Restaurant,Sharm El Sheikh.,Umm El Sid Hill,Ritz Carlton Rd.,
Abou El Hana Restaurant,Kaliobeya.,Shoubra El Khaymah,"El Moassasa Club Wall, El Moassasa Sq.",
Abou El Karam Restaurant,Hurghada.,El Hadaba,Sheraton Rd.,
Abou El Mal Restaurant,Cairo.,Ain Shams El Gharbeya,34 Gharb El Sekka El Hadid St.,
Abou El Marasi,Cairo.,El Manyal,96 Manial St.,
Abou El Sayed,El Sharkeya.,Abou Kebeir,El Tahrir St.,
Abou El Sid Restaurant,"Cairo.
See All Branches
❯",Zamalek,157 26th Of July St.,
Abou Gaser Restaurant,Cairo.,Abbasseya,17 Abbaseya St.,
Abou Ghareb,Cairo.,Shoubra,34 El Teraa El Gharby St.,
Abou Habiba Restaurant,Cairo.,El Marg,38 Mekka St.,
Abou Haitham,Cairo.,El Sayeda Zeinab,"74 Magles El Shaab St., Off Port Said St.",
