Restaurant_Name,Governorate,District,Address_Details,Phone
قرية ستو,القاهرة.,القاهرة الجديدة,", مدخل الغابة المتحجرة, التجمع الخامس",N/A
مطعم الفرخجي,الاسكندرية.,سموحة,ش اسماعيل سرى,N/A
مطعم هرم الحمام,"الاسكندرية.
جميع الفروع
❯",سيدى جابر,ش المشير - مول سيتى سكوير,N/A
اسماك المنشاوى,الجيزة.,الهرم,", عمارة 306 د, حدائق الاهرام",N/A
المحمدى,"الدقهلية.
جميع الفروع
❯",المنصورة,"ش سكة سندوب, ميدان الشيخ حسنين",N/A
امواج للماكولات البحرية,القاهرة.,مدينة نصر,5 ش محمد حسنين هيكل,N/A
بيتزا باستا,الجيزة.,فيصل,45 ش المطبعة,N/A
ساكورا سوشى,القاهرة.,المعادى,"15 ش 231, دجلة",N/A
سلسلة مطاعم الحاتى,"القاهرة.
جميع الفروع
❯",حدائق القبة,127 ش مصر والسودان,N/A
مطعم ابو العز,"القاهرة.
جميع الفروع
❯",مدينة نصر,35 ش عباس العقاد,N/A
مطعم نور الصباح,القاهرة.,دار السلام,151 ش الفيوم,N/A
10 بلدى,القاهرة.,مدينة نصر,"74 ش حسن المأمون, الحى الثامن",N/A
10 منيت كوفى,"القاهرة.
جميع الفروع
❯",حلوان,"14 ش مصطفى صفوت, تقاطع ش صالح صبحى",N/A
100 كرش,الدقهلية.,المنصورة,ش الجمهورية,N/A
101 كوفى شوب,القاهرة.,مدينة نصر,"4 ش محمود خيرى, المنطقة الاولى",N/A
1122 بار,القاهرة.,مصر الجديدة,"ش عبد الحميد بدوى, مساكن شيراتون",N/A
128 كافيه,دمياط.,دمياط الجديدة,ش 15,N/A
147 سوهو,القاهرة.,القاهرة الجديدة,"ش التسعين - الدور 2, التجمع الخامس",N/A
1902,اسوان.,وسط البلد,ش ابطال التحرير,N/A
1980 كوفى,"الجيزة.
جميع الفروع
❯",السادس من اكتوبر,"40, محور 26 يوليو, الشيخ زايد",N/A
2 كبدة وسجق,الغربية.,المحلة الكبرى,ش الفريق رضا حافظ,N/A
23 يوليو,بنى سويف.,بنى سويف,ش 23 يوليو,N/A
24 دوجز,القاهرة.,المعادى,62 ش 9,N/A
3 شيفس,الجيزة.,الهرم,"ش ابو الهول السياحى, مشعل",N/A
360 ستريت فود,الجيزة.,الهرم,"ش المجزر الالى, المريوطية",N/A
4 ام كريب,القاهرة.,القاهرة الجديدة,ش التسعين,N/A
41 ايس كريم,"القاهرة.
جميع الفروع
❯",مصر الجديدة,"4 ش ابراهيم, الكوربة",N/A
5 نجوم,الجيزة.,فيصل,114 ش ترعة الزمر - ابو قتادة,N/A
64 بار,شرم الشيخ.,خليج نعمة,الممشى السياحى,N/A
64 درب سعادة,القاهرة.,مدينة الرحاب,", الرحاب 2 - السوق الشرقى",N/A
68 جيتس,الاسكندرية.,سموحة,ش عصام حلمى تقاطع ش ادموند فيرمونت,N/A
8 باك,القاهرة.,مصر الجديدة,"ش عمر بن الخطاب, الماظة",N/A
900 دجريز,"القاهرة.
جميع الفروع
❯",القاهرة الجديدة,"القطعة A ش التسعين الجنوبى, مركز المدينة, التجمع الخامس",N/A
911,"الغربية.
جميع الفروع
❯",طنطا,سور الاستاد ش الجيش,N/A
اب تاون,القليوبية.,الخانكة,ش المحكمة الجديدة,N/A
اب تاون بوب,شرم الشيخ.,خليج نبق,الغرقانة,N/A
اب تاون كافيه,القاهرة.,وسط البلد,33 ش طلعت حرب,N/A
اب ستيرز ريستوران,الجونة.,وسط البلد,ش ايناس الدغيدى,N/A
اب ستيريز كافيه,القاهرة.,مدينة نصر,"ش انور المفتى, المنطقة الاولى",N/A
اب نورمال,الجيزة.,السادس من اكتوبر,"15 ش الشهداء, الحى الاول",N/A
اباتشى تشيكن,الجيزة. جميع الفروع❯,الهرم,116 ش الاهرام,N/A
اباظة كافيه,الاسكندرية.,سبورتنج,78 طريق الجيش,N/A
ابر ديك لاونج,القاهرة.,جاردن سيتى,1089 كورنيش النيل,N/A
ابراهيم الشرقاوى,القاهرة.,المرج,27 ش فوزى عبد المقصود,N/A
ابراهيم حسن العربى,الشرقية.,الزقازيق,ش المكاتب,N/A
ابراهيم غريب,القاهرة.,دار السلام,120 طريق مصر حلوان الزراعى,N/A
ابرو كافيه,الاسكندرية.,طريق الاسكندرية القاهرة الصحراوى,كم 6 -,N/A
ابل كافيه,القاهرة.,المقطم,420 د ش 9,N/A
ابلز,القاهرة.,مدينة نصر,ش الصناعة متفرع من ش عباس العقاد,N/A
ابلز,الغربية. جميع الفروع❯,طنطا,ش المعتصم,N/A
ابن البحر,الجيزة.,بولاق الدكرور,211 ش ترعة عبد العال 1 - صفط اللبن,N/A
ابن البلد,القاهرة.,مدينة نصر,"43 ش ابراهيم نوار, المنطقة السادسة",N/A
ابن البلد,القاهرة.,شبرا,27 ش الحافظية,N/A
ابن البلد,القاهرة.,مدينة الرحاب,السوق التجارى,N/A
ابن البلد,القاهرة.,عابدين,11 ش ارض شريف,N/A
ابن البلد,القاهرة.,الزاوية الحمراء,ش المستشفى,N/A
ابن البلد,القليوبية.,شبرا الخيمة,ش الوحدة,N/A
ابن البلد تيك اواى,الجيزة.,بولاق الدكرور,8 ش الشريف متفرع من ش الجامع البحرى,N/A
ابن البلد للوجبات السريعة,دهب.,المسبط,ش المشربة,N/A
ابن الحتة,القاهرة.,مصر الجديدة,"22 ش صلاح الدين, روكسى",N/A
ابن الحتة,الجيزة.,الدقى,29 ش سليمان جوهر,N/A
ابن العرب,الجيزة.,الهرم,2 ش جعفر,N/A
ابن القلج,القليوبية.,ابو زعبل,ش شرق السكة الحديد,N/A
ابن القليوبية,القاهرة.,عين شمس الشرقية,78 ش العشرين - تقسيم الاباصيرى,N/A
ابن حراز,القليوبية.,ابو زعبل,ش السكة الحديد ميدان المحطة,N/A
ابن حلال كوفى شوب,القاهرة.,عزبة النخل,77 ش الترعة التوفيقية,N/A
ابن حلب للمأكولات السورية,القاهرة.,مصر الجديدة,"3 ش فريد سميكة, ميدان الحجاز",N/A
ابن حميدو,القاهرة.,حدائق حلوان,56 ش جمال عبد الناصر,N/A
ابن حميدو,الاسكندرية. جميع الفروع❯,جليم,طريق الجيش,N/A
ابن حميدو القبطان,القاهرة. جميع الفروع❯,مدينة نصر,"15 ش البطراوى, المنطقة الاولى",N/A
ابن حميدو للاسماك,الاسكندرية.,كليوباترا,57 ش عزيز فهمى - ش الزنانيرى سابقا,N/A
ابن حميدو للماكولات البحرية,القاهرة.,عين شمس الشرقية,174 ش العشرين,N/A
ابن حميدو للمأكولات البحرية,القاهرة.,مصر الجديدة,"15 ش الجبرتى, متفرع من ش الخليفة المأمون, منشية البكرى",N/A
ابن زهران,الغربية.,السنطة,ش الجمهورية,N/A
ابناء الشرقية,القاهرة.,حلوان,36 ش عزبة الوالدة - عزبة الوالدة,N/A
ابناء الشرقية,الجيزة.,كرداسة,51 ش السادات,N/A
ابناء الصعيد,القاهرة.,البساتين,ش مهران,N/A
ابناء المحلة,الغربية.,قطور,ش الجيش,N/A
ابناء المحلة الكبرى,كفر الشيخ.,قلين,ش جمال عبد الناصر,N/A
ابناء المليجى,الجيزة.,الهرم,"7 ش جواد حسنى, الكوم الاخضر",N/A
ابناء الواحة,القاهرة.,المعادى,عمارات صقر قريش -,N/A
ابناء سوهاج,القاهرة.,الزاوية الحمراء,ش الامام العبد,N/A
ابناء سوهاج,القليوبية.,شبرا الخيمة,2 ش الفاتح,N/A
ابناء سوهاج,المنوفية.,شبين الكوم,7 ش طلعت حرب,N/A
ابناء سوهاج كوفى شوب,الجيزة.,امبابة,37 ش ترعة بشتيل - المنيرة الغربية,N/A
ابناء سوهاج للعصائر,الجيزة.,المنيب,2 ش المدرسة,N/A
ابناء سوهاج للعصائر,الجيزة.,الهرم,"67 ش د. محمد فؤاد سعيد, العمرانية الغربية",N/A
ابناء فرغلى,القاهرة.,جسر السويس,1 ش الاربعين,N/A
ابو احمد,القاهرة.,حدائق القبة,ش ترعة القبة,N/A
ابو احمد,القاهرة.,عباسية,81 ش احمد سعيد,N/A
ابو احمد,القاهرة.,المعادى,"1 ش فتح الله على, حدائق المعادى",N/A
ابو احمد,القاهرة.,المعادى,عمارات صقر قريش -,N/A
ابو احمد,الشرقية.,اولاد صقر,ش البحر,N/A
ابو احمد,القليوبية.,قليوب,ش العراقى,N/A
ابو ادهم للمشويات,الجيزة.,العياط,30 ش المدبح,N/A
ابو اسلام,الجيزة.,فيصل,61 ش المنشية,N/A
ابو اسلام,الجيزة.,فيصل,ش على ابو زيد,N/A
ابو اسلام,الجيزة.,الهرم,170 ش محمد سالم,N/A
