Place_Name,Rating,Price,Address,Link,Room_Info
The Grand Plaza Hotel Smouha,"Scored 8.1 | 8.1 | Very Good | 2,294 reviews","EGP 1,996",Alexandria,https://www.booking.com/hotel/eg/the-grand-plaza.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALQ3urOBsACAdICJDc1ZjMxOGY4LWM2NDEtNDU1NS04OTI0LWNlM2RkNzQ0M2I0OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2bf190286beb0318&srepoch=1775939414&all_sr_blocks=258701611_0_2_0_0&highlighted_blocks=258701611_0_2_0_0&matching_block_id=258701611_0_2_0_0&sr_pri_blocks=258701611_0_2_0_0__3760&from=searchresults,AlexandriaShow on map | 4.1 km from downtown | Beach Nearby
Tolip Hotel Alexandria,"Scored 8.2 | 8.2 | Very Good | 12,339 reviews","EGP 3,982",Alexandria,https://www.booking.com/hotel/eg/royal-tulip-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALQ3urOBsACAdICJDc1ZjMxOGY4LWM2NDEtNDU1NS04OTI0LWNlM2RkNzQ0M2I0OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2bf190286beb0318&srepoch=1775939414&all_sr_blocks=78883120_386871369_2_34_0_131741&highlighted_blocks=78883120_386871369_2_34_0_131741&matching_block_id=78883120_386871369_2_34_0_131741&sr_pri_blocks=78883120_386871369_2_34_0_131741_7500&from=searchresults,AlexandriaShow on map | 4.4 km from downtown | Beach Nearby
Miramar beach suits,Scored 3.3 | 3.3 | Review score | 7 reviews,EGP 812,Alexandria,https://www.booking.com/hotel/eg/miramar-beach-suits.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALQ3urOBsACAdICJDc1ZjMxOGY4LWM2NDEtNDU1NS04OTI0LWNlM2RkNzQ0M2I0OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2bf190286beb0318&srepoch=1775939414&all_sr_blocks=1584890105_429870424_6_0_0&highlighted_blocks=1584890105_429870424_6_0_0&matching_block_id=1584890105_429870424_6_0_0&sr_pri_blocks=1584890105_429870424_6_0_0__1530&from=searchresults,AlexandriaShow on map | 12.5 km from downtown
Crowne Plaza Alexandria Mirage by IHG,"Scored 8.6 | 8.6 | Excellent | 1,594 reviews","EGP 4,513",Alexandria,https://www.booking.com/hotel/eg/mirage-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALQ3urOBsACAdICJDc1ZjMxOGY4LWM2NDEtNDU1NS04OTI0LWNlM2RkNzQ0M2I0OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2bf190286beb0318&srepoch=1775939414&all_sr_blocks=1008858416_418538993_2_34_0&highlighted_blocks=1008858416_418538993_2_34_0&matching_block_id=1008858416_418538993_2_34_0&sr_pri_blocks=1008858416_418538993_2_34_0__8500&from=searchresults,AlexandriaShow on map | 3.1 km from downtown | Beach Nearby
economy low budget city square,No Rating,"EGP 1,168",Alexandria,https://www.booking.com/hotel/eg/city-square-sidi-jaber.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALQ3urOBsACAdICJDc1ZjMxOGY4LWM2NDEtNDU1NS04OTI0LWNlM2RkNzQ0M2I0OdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2bf190286beb0318&srepoch=1775939414&all_sr_blocks=1113078601_429136607_0_0_0&highlighted_blocks=1113078601_429136607_0_0_0&matching_block_id=1113078601_429136607_0_0_0&sr_pri_blocks=1113078601_429136607_0_0_0__2200&from=searchresults,AlexandriaShow on map | 3.9 km from downtown | Beach Nearby
Eleven Pyramids INN,Scored 10 | 10 | Exceptional | 4 reviews,EGP 749,"Giza, Cairo",https://www.booking.com/hotel/eg/eleven-pyramids-inn.html?aid=304142&label=gen173nr-10CAQoggJCC3NlYXJjaF9naXphSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALc3urOBsACAdICJGE4ZDExMzQ1LTdjNWMtNDA2Mi1hNWRhLWU4MmRlNzFjNDlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a795902e7e0f042e&srepoch=1775939424&all_sr_blocks=1608951101_431985815_2_1_0_1393425&highlighted_blocks=1608951101_431985815_2_1_0_1393425&matching_block_id=1608951101_431985815_2_1_0_1393425&sr_pri_blocks=1608951101_431985815_2_1_0_1393425_1410&from=searchresults,Featured
Flower Pyramids Inn,Scored 8.8 | 8.8 | Excellent | 319 reviews,"EGP 1,185","Giza, Cairo",https://www.booking.com/hotel/eg/flower-pyramids-inn.html?aid=304142&label=gen173nr-10CAQoggJCC3NlYXJjaF9naXphSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALc3urOBsACAdICJGE4ZDExMzQ1LTdjNWMtNDA2Mi1hNWRhLWU4MmRlNzFjNDlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a795902e7e0f042e&srepoch=1775939424&all_sr_blocks=1222407909_420067962_0_41_0_745733&highlighted_blocks=1222407909_420067962_0_41_0_745733&matching_block_id=1222407909_420067962_0_41_0_745733&sr_pri_blocks=1222407909_420067962_0_41_0_745733_2232&from=searchresults,Featured
Montu pyramids Hotel,Scored 8.3 | 8.3 | Very Good | 141 reviews,EGP 650,"Giza, Giza",https://www.booking.com/hotel/eg/isis-pyramids-al-haram.html?aid=304142&label=gen173nr-10CAQoggJCC3NlYXJjaF9naXphSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALc3urOBsACAdICJGE4ZDExMzQ1LTdjNWMtNDA2Mi1hNWRhLWU4MmRlNzFjNDlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a795902e7e0f042e&srepoch=1775939424&all_sr_blocks=1427455005_427456836_0_41_0&highlighted_blocks=1427455005_427456836_0_41_0&matching_block_id=1427455005_427456836_0_41_0&sr_pri_blocks=1427455005_427456836_0_41_0__1224&from=searchresults,"Giza, GizaShow on map | 0.9 km from Giza Pyramids"
Middle east pyramids veiw &jacuzzi,Scored 7.5 | 7.5 | Good | 159 reviews,EGP 451,"Giza, Cairo",https://www.booking.com/hotel/eg/asia-pyramids-view-lhrm1.html?aid=304142&label=gen173nr-10CAQoggJCC3NlYXJjaF9naXphSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALc3urOBsACAdICJGE4ZDExMzQ1LTdjNWMtNDA2Mi1hNWRhLWU4MmRlNzFjNDlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a795902e7e0f042e&srepoch=1775939424&all_sr_blocks=1488929510_425786960_0_41_0&highlighted_blocks=1488929510_425786960_0_41_0&matching_block_id=1488929510_425786960_0_41_0&sr_pri_blocks=1488929510_425786960_0_41_0__850&from=searchresults,Featured
Comfort sphinx,Scored 9.1 | 9.1 | Wonderful | 38 reviews,EGP 680,"Giza, Cairo",https://www.booking.com/hotel/eg/sphinx-al-haram3.html?aid=304142&label=gen173nr-10CAQoggJCC3NlYXJjaF9naXphSDNYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALc3urOBsACAdICJGE4ZDExMzQ1LTdjNWMtNDA2Mi1hNWRhLWU4MmRlNzFjNDlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-04-11&checkout=2026-04-12&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a795902e7e0f042e&srepoch=1775939424&all_sr_blocks=1578684301_428972211_0_0_0_1354235&highlighted_blocks=1578684301_428972211_0_0_0_1354235&matching_block_id=1578684301_428972211_0_0_0_1354235&sr_pri_blocks=1578684301_428972211_0_0_0_1354235_1280&from=searchresults,Featured
