hotel_ar,hotel_en,governorate,city,rating
مارشاربل,marsher bell,القاهرة,القاهرة,
صن رايز,sun rise,جنوب سيناء,شرم الشيخ,
صن رايز انجم ريزورت,sun rise angom resort,البحر الأحمر,مرسي علم,
اغورمى,AGHORMI,مطروح,مرسي مطروح,
ستار,STAR,جنوب سيناء,شرم الشيخ,
امارا,AMARA,البحر الأحمر,مرسي علم,
حابى,HABI,أسوان,اسوان,
امارينا جنة ريزورت و اكوا بارك,Amarina jannah Rsort & Aqua Park MarsaAlam,البحر الأحمر,مرسي علم,
دغش لاند,Daghash land hotel,جنوب سيناء,رأس سدر,
ريجنسى,Regency Hotel,الجيزة,الجيزة,
ريكسوس بريكيك العالمين,RexosBreaker Alameen,مطروح,الساحل الشمالى,
ستار هاوس,star house,البحر الأحمر,مرسي علم,
نعمه باى سويتس اند سبا,Neama bay suits &spa,جنوب سيناء,شرم الشيخ,
كايت فليدج,Kite Village,البحر الأحمر,مرسي علم,
الرياض,AL RYAD HOTEL,القاهرة,القاهرة,
تونسيا بيراميدز,TONISIA PYRAMIDS HOTEL,الفيوم,الفيوم,
ماروم,MAROM HOTEL,بورسعيد,بورسعيد,
زهرة الشهدا,ZAHRT EL SHOHADA,المنوفية,,
دايموند لاند,DIAMOND LAND HOTEL,الشرقية,الزقازيق,
الشاطىء,EL SHATEA,المنيا,المنيا,
ريجال هايتس,REGAL HIGHTS,,الساحل الشمالى,
اكوا صن,Aqua Sun,جنوب سيناء,نويبع,
اكوا صن غزالى,Aqua Sun Ghazali,جنوب سيناء,نويبع,
لابلايا بيتش ريزروت,La Playa Beach Resort,جنوب سيناء,نويبع,
اميجو طابا,Amigo Taba,جنوب سيناء,طابا,
سـويـس دريــــم ريزورت,SWISS DREAM RESORT TABA,جنوب سيناء,طابا,
أكوا مارينـا طابا,AQUAMARINE TABA HOTEL,جنوب سيناء,طابا,
صن,Sun,جنوب سيناء,شرم الشيخ,
كنابش,Kanabesh,جنوب سيناء,شرم الشيخ,
رويال نعمة باى,ROYAL NEAMA BAY (Royal Oasis),جنوب سيناء,شرم الشيخ,
سويس اوتيل,SWISS HOTEL,جنوب سيناء,شرم الشيخ,
كينج سنفرو كلوب الفراعنة هايتس,KING SNEFRO EL FARAANA HIGHTS,جنوب سيناء,شرم الشيخ,
ممنون,MAMNON,البحر الأحمر,سفاجا,
شتايجنبرجر راس سومه,STEIGENBERGER RAS SOMA,البحر الأحمر,سفاجا,
مارينا سدر,Marina Sudr,جنوب سيناء,رأس سدر,
موسي كوست,MOUSA COAST HOTEL,جنوب سيناء,رأس سدر,
لاسياندا,LA HACIENDA BEACH RESORT,جنوب سيناء,رأس سدر,
جولدن بيتش ريزورت,GOLDEN BEACH RESORT,جنوب سيناء,رأس سدر,
كوين,Queen,البحر الأحمر,مرسي علم,
نكارى,NAKARY,البحر الأحمر,مرسي علم,
صبارا,SABARAH HOTEL,البحر الأحمر,مرسي علم,
ندى,NADA RESORT,البحر الأحمر,مرسي علم,
مارينا ريزورت بورت غالب,Marina Resort port ghaleb,البحر الأحمر,مرسي علم,
الزبرجد,EL ZABARGET HOTEL,البحر الأحمر,مرسي علم,
كورال هليز,CORAL HILLS RESORT,البحر الأحمر,مرسي علم,
بلو فاجن,BLUE VISION HOTEL,البحر الأحمر,مرسي علم,
برنيس كلوب,BERENICE CLUB RESORT,البحر الأحمر,مرسي علم,
الاسكندر الاكبر,ALEXANDER THE GREAT RESORT,البحر الأحمر,مرسي علم,
جراند مارينا,Grand Marina,البحر الأحمر,الغردقة,
