monument,location,Description,start_from,end_at,tickets_price
Dier El Ballas,Qena,"Probably one of the most important sites in Egyptian History and also one of the least well-known, Deir el-Ballas was the forward capital of the Theban kings during their drive to expel the Hyksos invaders in the north and reunite the land founding the glorious New Kingdom three thousand, five hundred years ago. Our fieldwork at Deir el-Ballas is critically important as the site is in danger of destruction by the neighboring modern community. The site was first excavated by George Andrew Reisner working for the Hearst Expedition of the University of California, Berkeley in the years 1900-1901 AD, but never published and was long forgotten.
In order to clarify the records of the original expedition and enable the eventual publication of the site, four seasons of survey and clearance were undertaken in 1980, 1983, 1984, and 1986 by Peter Lacovara under the sponsorship of the American Research Center and the Museum of Fine Arts, Boston.
At the request of our colleagues at the Ministry of Tourism and Antiquities, we went back to the site which was in danger from the expansion of the modern town. We began new fieldwork in 2017. The goals of the new work of the Ancient Egyptian Heritage and Archeology Fund at Deir e-Ballas are twofold, to publish Reisners’ original finds along with our new research at the site to both elucidate Reisner’s excavations and to protect and preserve the ancient monuments. Since it is also one of the few settlement sites to be extensively cleared, Deir el-Ballas also provides important insights into the daily life of the ancient Egyptians.
In many ways a precursor to Tell el-Amarna, the capital of Akhenaten and Nefertiti, Deir el-Ballas seems to have set the pattern for these royal cities of the New Kingdom. At the center of the site is a monumental structure known as the North Palace that must have served as the campaign palace for the Kings Seqenenre, Kamose, and Ahmose. Like the later royal cities, there is a series of houses, including large villas for the royal court, a workmen’s settlement with associated cult chapels, storage magazines, and cemeteries. At the southern end of the site is a massive watchtower known as the “South Palace,” which gives a commanding view of the Nile and the territory around it. It would seem to be from here that the Theban fleet was marshaled and sailed north to victory.
The fieldwork we are conducting will concentrate on ways to protect and restore this important Palace-City of the Theban kings. Our long-term goal is to coordinate our efforts with the Qena Antiquities Inspectorate and the Ministry of State for Antiquities to develop a strategy for the protection, conservation, and management of the site. The areas we will focus on in the upcoming seasons include work on the ‘South Palace’ to complete the recording of it through detailed photographs and plans and begin stabilization and restoration work on those areas recently damaged by vandalism and collapse by restoring the fallen brickwork, primarily on the eastern façade.
 ",Not Available,Not Available,Free
khonsu temple,Karnak,"The Temple of Khonsu, nestled in the southwestern corner of the Karnak temple complex in Luxor, dedicated to the moon god Khonsu, a significant deity in ancient Egyptian mythology. Construction began under the reign of King Rameses III on the ruins of an earlier temple from the 18th Dynasty. Over time, the temple was enhanced, particularly during the reign of King Nectanebo II and the Ptolemaic period.
This temple exemplifies the classic design of ancient Egyptian religious structures. Measuring approximately 73 meters in length and 29 meters in width, it comprises a series of architecturally distinct sections. Visitors would first encounter the outer gateway, or pylon, which opens onto a processional avenue flanked by sphinx-like statues. Although time has reduced these statues to their bases, they remain a testament to the craftsmanship of King Nectanebo I during the 30th Dynasty. Beyond the pylon lies the first courtyard, a square hall bordered on three sides by rows of round columns with capitals shaped like closed papyrus buds.
From this courtyard, a passage leads to the Hypostyle Hall, a structure featuring eight columns arranged in two rows. The columns’ capitals alternate between closed and open papyrus buds, adding visual interest to the hall. This section, dating back to the reign of King Seti I, is thought to include remnants of the earlier temple. The Hypostyle Hall transitions into a rectangular chamber that once housed the Sanctuary, now largely destroyed. Remarkably, a sandstone statue of Khonsu, believed to date to the reign of King Tutankhamun, was discovered here. Beyond this chamber is the Sacred Boat Shrine, a smaller room supported by four columns. At its center lies the base for Amun’s sacred boat, from the era of King Rameses III.
Significant modifications to the temple were undertaken by later rulers. King Nectanebo II rebuilt the gateways of the Hypostyle Hall, while the Ptolemaic rulers extensively renovated and expanded the structure, incorporating stones from the older temple into their designs.
Khonsu, as part of the Theban Triad alongside Amun-Ra and Mut, held a revered place in Egyptian belief. Representations of Khonsu often depict him as a child with a distinctive side braid or as a robed figure holding a scepter, crowned by the full moon resting on a crescent. His association with the moon imbued him with a reputation as a healer and protector, capable of expelling evil spirits—a trait that ensured his enduring popularity.",06:00 AM,05:00 PM,Free
The Ramesseum; The Temple of Ramses II,Luxor,"King Ramses II (c.1279-1213 BC), the most famous king of ancient Egypt (who fought a battle against the Hittites), built the Ramesseum Temple, a funerary temple built of sandstone, the temple served as a model for future temples built by different kings.
It consists of the first pylon, which is a large building facing four flagpoles, while the inner one competly inscriped with the famous Battle of Kadesh. This pylon follows the first courtyard, which is currently demolished, and has two rows of columns on its southern side, while on the northern side there was a row of Osirian columns. As for the second pylon, to the left there are the remains of a huge black granite statue of Ramses II. The second courtyard is higher than the first one, but it is also demolished and has rows of columns and Osirian columns. After that comes the Hall of Columns with six rows of columns.
The temple is surrounded by many chapels dedicated to various deities, in addition to other buildings such as bakeries, kitchens, warehouses.
The entire complex is essential to understand the importance of Ramses II in Egyptian history and to admire one of the most important moments in Pharaonic architecture and art.
The walls of the Ramesseum were decorated with prominent banks depicting the king fighting his enemies in the Battle of Kadesh, in addition to depicting religious and funerary ceremonies and rituals.
It was also designed with its majestic columns and its huge statues, including the statue of Ramses II, which is more than 17 meters high and weighs about 1000 tons.
This complex was not known until the 18th century, that Frederick Ludwig Norden described the ruins. Later, the scientists who accompanied the expedition of Napoleon's army between 1798 and 1801 would also document the site. In 1829, it was visited by Champollion, who gave it the contemporary name of Ramesseum.",06:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 220 / Student: EGP 110
EGYPTIANS:
Adult: EGP 20 / Student: EGP 10"
The Temple of Medinet Habu,Luxor,"Ramses III built his mortuary temple, also known as the Temple of Medinet Habu, which is considered an architectural masterpiece due to its beauty and good state of preservation. It was dedicated to performing his funeral rituals, as well as to performing the rituals of worshiping the god Amun. This temple was built according to the usual traditions of temple construction in this era and is largely inspired by the Ramesseum.
King Ramses III (c.1184-1153 BC) is the most famous king of the Twentieth Dynasty, who fought many wars against the Libyans and the Sea Peoples, which led to years of prosperity in Egypt, but in the end, he fell victim to a conspiracy by the royal harem in the late days of his reign.
The temple is surrounded by a huge wall built of mud bricks with two guard rooms, and in the middle of the wall is a great gate surrounded by two towers with terraces and is known as the Gate of Ramses III or the High Gate, It is on the eastern side and there was a similar one on the western side but it was demolished. The eastern gate leads to the first pylon, then the first courtyard, then the second pylon and the second courtyard, then three halls of columns and a group of chapels, then the Holy of Holies and behind it a group of rooms. The temple also includes the remains of a royal palace, storehouses, temple administration buildings, and royal stables. It also contains many columns, some of which are round with papyrus-shaped capitals, and others represent Ramses III in the form of Osirians.
There is also in the area surrounding the temple a temple built by Queen Hatshepsut and King Thutmose III on the site of a temple built in the Twelfth Dynasty, which was built on the tombs of the ancestors of the god Amun, as well as the tombs of the divine wives of the god Amun-Ra, which date back to the Twenty-fifth and Twenty-sixth Dynasties.
There was a canal connected to the Nile, preceded by a dock. This canal allowed access to the temple by boats. The temple is surrounded by a huge wall built of mud bricks with two guard rooms. The area surrounding the temple was used by the inhabitants to protect themselves from attacks by Libyans from the west and to protect the temple. This is due to the political situation during the reign of Ramses III.
The decorations of the temple show Ramses III in military scenes such as the Libyan campaigns and battles against the Sea Peoples, as well as scenes of hunting and exploratory trips, in addition to religious scenes such as the king worshipping the deities, as well as various celebrations.
 ",06:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 230 / Student: EGP 110
EGYPTIANS:
Adult: EGP 20 / Student: EGP 10"
Tomb of Amenhotep Rabuia (TT 416) (Father) Tomb of Samut (TT 417) (Son) Eighteenth Dynasty,Luxor,"Both tombs’ chapel areas have the standard T-shaped layout for this period consisting of a transverse hall that leads to a straight long hall. The transverse hall of each tomb is decorated with scenes from the owner’s life, while the long hall is decorated with funerary scenes.
The two tombs were reused during the Late Period (664–332 BC), when rooms and funerary shafts were added.
The transverse hall of the tomb of Amenhotep-Rabuia has beautiful scenes depicting agriculture, the harvesting of grains, their storage in granaries, breadmaking, and potters at work. It also boasts beautiful banqueting scenes as well as a false-door and what remains of a biographical text. The long hall shows representations of Amenhotep’s funeral procession, the Opening of the Mouth ritual, as well as a rare scene of the deceased making offerings to the agricultural fertility goddess Renenutet, who is depicted breastfeeding a royal child.
The tomb of Samut was left unfinished, but it too features beautiful banqueting scenes and a false-door.
Although the title shared by father and son appears to be of rather low rank, both chapels have been decorated with great skill and taste. Their tomb paintings can be placed among the masterpieces of ancient Egyptian painting.
The two tombs date to the reigns of:
Thutmose III (1481 – 1425 BCE)
Thutmose IV (1400 – 1389 BCE)",Not Available,Not Available,Free
Wikala of Nafisa al-Bayda,Al-Mu'izz Street,"Nafisa al-Bayda (she was called the white due to the colour of her skin) established this complex in 1211 AH / 1796 AD. She was the wife of the Mamluk Ali Bey al-Kabir, after his death she married Murad Bey, a Mamluk general and joint-ruler of Egypt along with Ibrahim Bey.
This wikala was famed as wikala of Candles, due to the manufacturing and selling of candles inside. The main façade is overlooking al-Mu‘izz street, and divided into two sections. The right part of the façade contains dakakin (shops) surmounted with two floors each overlooking the street with mashrabiyyas. The left side, contains also dakakin (shops) on the lower floor surmounted with one floor with mashrabiyyas. The entrance lies in the middle of the façade and surmounted with mashrabiyya. It leads to several interior shops while the upper floors contains rooms dedicated to traveling merchants. On the corner of the street of the wikala is Nafisa al-Bayda’s elegant sabil-kuttab (public drinking fountain and Quranic school).",09:00 AM,04:00 PM,Free
The Walls of Cairo,Al-Mu'izz Street,"Fatimid Cairo was surrounded by walls of mudbrick that had been commissioned by Gawhar al-Siqilli to protect the city during the reign of Caliph al-Mu‘izz li-Din Allah (358-365 AH / 969-975 AD). In 480 AH / 1087 AD, the vizier Badr al-Gamali ordered that the walls be expanded and rebuilt in stone. This coincided with the reign of Caliph al-Mustansir (427–487 AH / 1036–1094 AD).
These Fatimid walls had huge eight gates. some of them have collapsed, while others still remain. Al-Futuh and al-Nasr lay on the northern side. On the southern walls were Zuwayla and al-Farag. Al-Qarratin and al-Barqiyya were on the east, and Sa‘ada and al-Qantara on the west.
Sultan Salah al-Din (567-589 AH/1171-1193 AD) extended the gates farther in the Ayyubid Period to include all four capitals of Islamic Egypt: al-Fustat, al-‘Askar, al-Qatai‘, and al-Qahira. The defensive center of this large city was the citadel of Salah al-Din, today simply known as the Cairo Citadel.",Not Available,Not Available,Free
The Architectural Complex of Prince Youssef Kamal,Qena,"The architectural complex of Prince Youssef Kamal (1882 - 1967 AD) in Nag Hammadi consists of several buildings inside a walled enclosure. it includes separate buildings for men (Salamlek) and women / family (Haramlek), a dining hall, a kitchen with annexes, a laundry, the pre-existing mausoleum of Sheikh Imran and its dependencies, the inspection office and residence of the overseer of Prince Youssef Kamal's estate, a fountain, and a public water dispensary (sabil). A garden of plants and ornamental trees surrounds these architectural elements.
The architectural complex reflects prevalent taste in the design of royal palaces of the Muhammad Ali Pasha dynasty. The buildings are constructed of brick masonry, with alternating bands of black and red bricks called ‘ablaq’. They contain examples of fine workmanship in the Islamic style using various materials such as wood, marble, metal, stained glass, plaster, ceramic tile, and mosaic.",08:00 AM,05:00 PM,"FOREIGNERS:
Adult: EGP 100/ StudentS: EGP 50

EGYPTIANS:
Adult: EGP 10/ Students: EGP5"
Sabil of al-Amir Shaykhu,Cairo,"This is one of the unique examples of the architecture of sabils of bahari mamluks era. The sabil is like a cave entirely carved into the rock, except for its facade which is covered with stone. It is also one of the oldest stand-alone sabils which is not attached to another facility, and its function was to provide water to passers-by. It was established in 755 AH/1354 AD by al-Amir (Prince) Sayf al-Din Shaykhu al-Nasiri (or Shaykhun as known to the public), one of the Mamluks of al-Nasir Muhammad ibn Qalawun.
The sabil has a magnificent facade consisting of a prominent rectangular block with a central entrance topped by a knotted arch ornamented with five decorative arches. These arches feature vegetal motifs, inscriptions and ranks such as the rank (emblem) of the cupbearer, which is in the shape of a cup, and the inscriptional rank “Glory be to our Lord, Sultan, King al-Nasir.” Above the entrance, there is an inscriptional band containing the founding inscription of the sabil. The entrance leads to two rectangular halls; on the floor of each is a cistern cap. Water was offered to passers-by using designated jars for water distribution.",Not Available,Not Available,Free
Mosque of al-Fakahani,Al-Mu'izz Street,"Fatimid Caliph al-Zafir bi-Amr Allah built this mosque in 543 AH / 1148 AD, and was called al-Afkhar or al-Zafir Mosque. After a while, it was called al-Fakahani due to career of the Muhammad al-Anwar who restored the mosque in later period.
Al-Fakahani’s beautiful wooden doors are all that remain of the original Fatimid building. The mosque was rebuilt in 1148 Ah\ 1735 AD by Prince Ahmad Katkhuda Mustahfizan al-Kharbutli, one of the Ottoman Period’s princes.
With a series of shops underneath it, the mosque has become one of the suspended mosques. The income of these shops endowed for paying of salaries to whom were worked in the mosque. The mosque has four facades, the western is the main one and contains the main entrance. It consists of an open court surrounded by four riwaqs (arcades). With its conical top, the minaret is characteristic of Ottoman architecture. Besides a sabil (public drinking fountain) surmounted by a kuttab (Quranic school) adjoining the  northern side of the mosque.",Not Available,Not Available,Free
